Chrom.1		
UV		
ml	mAU	
0.68	-0.4699134	
0.681	-0.4688509	
0.682	-0.4691989	
0.683	-0.4702246	
0.684	-0.4701066	
0.685	-0.4697424	
0.685	-0.4706205	
0.686	-0.4727506	
0.687	-0.4749343	
0.688	-0.4762773	
0.689	-0.4774634	
0.69	-0.4791569	
0.69	-0.4815423	
0.691	-0.4838433	
0.692	-0.4850575	
0.693	-0.4856082	
0.694	-0.4850132	
0.695	-0.4846129	
0.695	-0.48574	
0.696	-0.4867762	
0.697	-0.4869024	
0.698	-0.4872161	
0.699	-0.4879216	
0.7	-0.4889979	
0.7	-0.4886605	
0.701	-0.4904035	
0.702	-0.4932192	
0.703	-0.494358	
0.704	-0.4956233	
0.705	-0.4979911	
0.705	-0.4987297	
0.706	-0.4989566	
0.707	-0.4998801	
0.708	-0.4999078	
0.709	-0.4996928	
0.71	-0.4997478	
0.71	-0.5005307	
0.711	-0.5009797	
0.712	-0.5016398	
0.713	-0.5020211	
0.714	-0.5025111	
0.714	-0.5040197	
0.715	-0.5051129	
0.716	-0.5061193	
0.717	-0.5074447	
0.718	-0.5084264	
0.719	-0.5094603	
0.719	-0.5102224	
0.72	-0.5104206	
0.721	-0.510618	
0.722	-0.5108472	
0.723	-0.5113084	
0.724	-0.5111078	
0.724	-0.5101187	
0.725	-0.5088055	
0.726	-0.5084888	
0.727	-0.5088196	
0.728	-0.5099797	
0.729	-0.5129282	
0.729	-0.5159135	
0.73	-0.5178301	
0.731	-0.5190009	
0.732	-0.520018	
0.733	-0.5209219	
0.734	-0.5207802	
0.734	-0.5205333	
0.735	-0.5208941	
0.736	-0.5212361	
0.737	-0.522918	
0.738	-0.5232872	
0.739	-0.5242742	
0.739	-0.5256192	
0.74	-0.5264065	
0.741	-0.5267435	
0.742	-0.5269966	
0.743	-0.5271092	
0.743	-0.5274214	
0.744	-0.5280985	
0.745	-0.5289812	
0.746	-0.5289523	
0.747	-0.5304694	
0.748	-0.5326563	
0.748	-0.5334544	
0.749	-0.5325611	
0.75	-0.5327707	
0.751	-0.5324339	
0.752	-0.5317166	
0.753	-0.5313678	
0.753	-0.5316548	
0.754	-0.5320426	
0.755	-0.5335175	
0.756	-0.5347204	
0.757	-0.5353996	
0.758	-0.5342233	
0.758	-0.5343673	
0.759	-0.5337773	
0.76	-0.5327826	
0.761	-0.5315562	
0.762	-0.5320031	
0.763	-0.5333026	
0.763	-0.535952	
0.764	-0.5361117	
0.765	-0.5359563	
0.766	-0.5364293	
0.767	-0.5385174	
0.768	-0.5396843	
0.768	-0.5389096	
0.769	-0.539038	
0.77	-0.5394939	
0.771	-0.5392867	
0.772	-0.5401508	
0.773	-0.5410864	
0.773	-0.5412475	
0.774	-0.5419964	
0.775	-0.5433755	
0.776	-0.5449668	
0.777	-0.5460061	
0.777	-0.5474979	
0.778	-0.5501809	
0.779	-0.5518057	
0.78	-0.5531418	
0.781	-0.5541731	
0.782	-0.5560695	
0.782	-0.5573608	
0.783	-0.557823	
0.784	-0.5562062	
0.785	-0.5571508	
0.786	-0.5585057	
0.787	-0.5599935	
0.787	-0.5609842	
0.788	-0.5613315	
0.789	-0.5642095	
0.79	-0.565713	
0.791	-0.5679218	
0.792	-0.5684575	
0.792	-0.5697904	
0.793	-0.5713094	
0.794	-0.573132	
0.795	-0.5742767	
0.796	-0.5762592	
0.797	-0.5751023	
0.797	-0.5748673	
0.798	-0.5751723	
0.799	-0.5755144	
0.8	-0.5764332	
0.801	-0.5768314	
0.802	-0.5772958	
0.802	-0.5789479	
0.803	-0.580518	
0.804	-0.5807944	
0.805	-0.583958	
0.806	-0.5842968	
0.806	-0.585217	
0.807	-0.5857423	
0.808	-0.5865595	
0.809	-0.5876112	
0.81	-0.5874883	
0.811	-0.5882025	
0.811	-0.5878537	
0.812	-0.5872592	
