Chrom.1		
UV		
ml	mAU	
0.966	-0.8855487	
0.967	-0.8842561	
0.968	-0.8822801	
0.969	-0.8809587	
0.97	-0.8786407	
0.971	-0.8776047	
0.971	-0.8768371	
0.972	-0.8769917	
0.973	-0.875552	
0.974	-0.8763626	
0.975	-0.8779395	
0.976	-0.87935	
0.976	-0.880646	
0.977	-0.8813756	
0.978	-0.8814374	
0.979	-0.8820044	
0.98	-0.8819597	
0.981	-0.8811542	
0.981	-0.8811404	
0.982	-0.8814595	
0.983	-0.881018	
0.984	-0.8815935	
0.985	-0.8828751	
0.986	-0.8841366	
0.986	-0.8849344	
0.987	-0.8855962	
0.988	-0.8866863	
0.989	-0.8881679	
0.99	-0.8897474	
0.991	-0.8914052	
0.991	-0.8920708	
0.992	-0.8918774	
0.993	-0.894031	
0.994	-0.8962723	
0.995	-0.8971017	
0.996	-0.8967592	
0.996	-0.8973126	
0.997	-0.8970835	
0.998	-0.8973938	
0.999	-0.8962944	
1	-0.8955668	
