Chrom.1		
UV		
ml	mAU	
0.594	-0.2185203	
0.595	-0.2189648	
0.596	-0.2210487	
0.597	-0.2214959	
0.598	-0.2226418	
0.598	-0.2242585	
0.599	-0.2263063	
0.6	-0.2290394	
0.601	-0.2317939	
0.602	-0.2331644	
0.603	-0.2337954	
0.603	-0.2350625	
0.604	-0.2362266	
0.605	-0.2376302	
0.606	-0.2390647	
0.607	-0.2416644	
0.608	-0.2444197	
0.608	-0.246092	
0.609	-0.2465179	
0.61	-0.2483408	
0.611	-0.250939	
0.612	-0.2528272	
0.613	-0.253542	
0.613	-0.2539241	
0.614	-0.2543771	
0.615	-0.2556336	
0.616	-0.2561059	
0.617	-0.2586647	
0.618	-0.2614405	
0.618	-0.264825	
0.619	-0.2661492	
0.62	-0.2684442	
0.621	-0.2702388	
0.622	-0.2711698	
0.623	-0.2721912	
0.623	-0.2759967	
0.624	-0.2775591	
0.625	-0.2793376	
0.626	-0.2812746	
0.627	-0.282505	
0.628	-0.2837189	
0.628	-0.283867	
0.629	-0.2853239	
0.63	-0.2875876	
0.631	-0.2887834	
0.632	-0.2892137	
0.633	-0.2919547	
0.633	-0.2945653	
0.634	-0.295528	
0.635	-0.297328	
0.636	-0.2988459	
0.637	-0.3037759	
0.638	-0.3052338	
0.638	-0.3070963	
0.639	-0.3084087	
0.64	-0.3104296	
0.641	-0.3103173	
0.642	-0.3102984	
0.643	-0.3113684	
0.643	-0.312195	
0.644	-0.3123884	
0.645	-0.3163075	
0.646	-0.3181767	
0.647	-0.3191254	
0.648	-0.3194253	
0.648	-0.3197715	
0.649	-0.3216977	
0.65	-0.3225876	
0.651	-0.3248559	
0.652	-0.3270079	
0.653	-0.3289841	
0.653	-0.3291919	
0.654	-0.3293597	
0.655	-0.3318091	
0.656	-0.3338435	
0.657	-0.335906	
0.658	-0.3350559	
0.658	-0.3356057	
0.659	-0.3367338	
0.66	-0.3382859	
0.661	-0.3402558	
0.662	-0.3427809	
0.663	-0.3449772	
0.663	-0.3470297	
0.664	-0.3489537	
0.665	-0.3500523	
0.666	-0.3505479	
0.667	-0.3507515	
0.668	-0.3500162	
0.668	-0.3518206	
0.669	-0.353598	
0.67	-0.3539573	
0.671	-0.3544822	
0.672	-0.3557411	
0.673	-0.3563309	
0.673	-0.3584127	
0.674	-0.3595992	
0.675	-0.3611698	
0.676	-0.3611936	
0.677	-0.3629921	
0.678	-0.3626155	
0.678	-0.3644065	
0.679	-0.3669767	
0.68	-0.3697271	
0.681	-0.369719	
0.682	-0.3706118	
0.683	-0.3723076	
0.683	-0.3742778	
0.684	-0.37501	
0.685	-0.3771189	
0.686	-0.3802179	
0.687	-0.3807551	
0.688	-0.3819166	
0.688	-0.385788	
0.689	-0.3886365	
0.69	-0.3913512	
0.691	-0.3936125	
0.692	-0.3947302	
0.693	-0.395991	
0.693	-0.3974125	
0.694	-0.397556	
0.695	-0.3997668	
0.696	-0.4020408	
0.697	-0.4041259	
0.698	-0.4040504	
0.698	-0.4043439	
0.699	-0.4053555	
0.7	-0.4052974	
0.701	-0.4054769	
0.702	-0.4067875	
0.703	-0.4068808	
0.703	-0.4073531	
0.704	-0.4086757	
0.705	-0.4111936	
0.706	-0.4123772	
0.707	-0.4133264	
0.708	-0.4145708	
0.708	-0.4163189	
0.709	-0.4171541	
0.71	-0.4180465	
0.711	-0.4184432	
0.712	-0.4204022	
0.713	-0.4224652	
0.713	-0.423803	
0.714	-0.4243509	
0.715	-0.4242661	
0.716	-0.4232815	
0.717	-0.4233867	
0.718	-0.424575	
0.718	-0.4264736	
0.719	-0.4288298	
0.72	-0.4304383	
0.721	-0.431119	
0.722	-0.4320466	
0.723	-0.4330927	
0.723	-0.4334564	
0.724	-0.4337646	
0.725	-0.4339317	
0.726	-0.4322255	
0.727	-0.4322392	
0.728	-0.4323915	
0.728	-0.4333794	
0.729	-0.43316	
0.73	-0.434023	
0.731	-0.4332644	
0.732	-0.433395	
0.733	-0.4327026	
0.733	-0.4328799	
0.734	-0.4325202	
0.735	-0.4340754	
0.736	-0.4353121	
0.737	-0.4375708	
0.738	-0.4398292	
0.738	-0.4413609	
0.739	-0.4414303	
0.74	-0.4413763	
0.741	-0.4403442	
0.742	-0.4409517	
0.743	-0.4412929	
0.743	-0.4427464	
0.744	-0.4445904	
0.745	-0.447061	
0.746	-0.448737	
0.747	-0.4513484	
0.748	-0.4536492	
0.748	-0.4545828	
0.749	-0.4552861	
0.75	-0.4563013	
0.751	-0.4576751	
0.752	-0.4584675	
0.753	-0.459738	
0.753	-0.4603899	
0.754	-0.4610591	
0.755	-0.4619097	
0.756	-0.462216	
0.757	-0.4628153	
0.758	-0.463719	
0.758	-0.4649888	
0.759	-0.4652852	
0.76	-0.4682012	
0.761	-0.4701695	
0.762	-0.4723679	
0.763	-0.4736224	
0.763	-0.474204	
0.764	-0.4739255	
0.765	-0.4751253	
0.766	-0.4762861	
0.767	-0.4781823	
0.768	-0.4797321	
0.768	-0.4808482	
0.769	-0.4813423	
0.77	-0.4820639	
