Chrom.1		
UV		
ml	mAU	
0.668	-1.093539	
0.669	-1.094551	
0.67	-1.09573	
0.671	-1.096399	
0.671	-1.09734	
0.672	-1.100097	
0.673	-1.101793	
0.674	-1.101717	
0.675	-1.103102	
0.676	-1.103946	
0.676	-1.102992	
0.677	-1.104026	
0.678	-1.10593	
0.679	-1.10627	
0.68	-1.1059	
0.681	-1.107322	
0.681	-1.108677	
0.682	-1.109861	
0.683	-1.109909	
0.684	-1.109897	
0.685	-1.109958	
0.686	-1.109684	
0.686	-1.111977	
0.687	-1.113774	
0.688	-1.116007	
0.689	-1.118158	
0.69	-1.119297	
0.691	-1.120495	
0.691	-1.121861	
0.692	-1.122798	
0.693	-1.123148	
0.694	-1.122869	
0.695	-1.124012	
0.696	-1.126131	
0.696	-1.128333	
0.697	-1.131312	
0.698	-1.131746	
0.699	-1.130424	
0.7	-1.131543	
0.701	-1.133296	
0.701	-1.132683	
0.702	-1.132904	
0.703	-1.133417	
0.704	-1.133863	
0.705	-1.137202	
0.706	-1.139674	
0.706	-1.142739	
0.707	-1.143887	
0.708	-1.146169	
0.709	-1.14712	
0.71	-1.147308	
0.711	-1.148073	
0.711	-1.148766	
0.712	-1.150356	
0.713	-1.151876	
0.714	-1.151778	
0.715	-1.152268	
0.716	-1.15442	
0.716	-1.155458	
0.717	-1.155201	
0.718	-1.156565	
0.719	-1.159433	
0.72	-1.161427	
0.721	-1.162018	
0.721	-1.162537	
0.722	-1.164276	
0.723	-1.166734	
0.724	-1.168319	
0.725	-1.16957	
0.726	-1.169827	
0.726	-1.170734	
0.727	-1.171925	
0.728	-1.173477	
0.729	-1.174209	
0.73	-1.17471	
0.731	-1.176286	
0.731	-1.1787	
0.732	-1.180051	
0.733	-1.180281	
0.734	-1.181563	
0.735	-1.184381	
0.736	-1.185968	
0.736	-1.18686	
0.737	-1.187362	
0.738	-1.18919	
0.739	-1.188901	
0.74	-1.188012	
0.741	-1.188537	
0.741	-1.191046	
0.742	-1.193055	
0.743	-1.19374	
0.744	-1.193363	
0.745	-1.194575	
0.746	-1.196698	
0.746	-1.197979	
0.747	-1.199251	
0.748	-1.200212	
0.749	-1.200211	
0.75	-1.200469	
0.751	-1.201691	
0.751	-1.201222	
0.752	-1.201711	
0.753	-1.203863	
0.754	-1.205436	
0.755	-1.206643	
0.756	-1.206214	
0.756	-1.206621	
0.757	-1.207069	
0.758	-1.208217	
0.759	-1.208774	
0.76	-1.210622	
0.761	-1.211034	
0.761	-1.212228	
0.762	-1.213183	
0.763	-1.213596	
0.764	-1.214427	
0.765	-1.215826	
0.766	-1.216845	
0.766	-1.218609	
0.767	-1.220822	
0.768	-1.221957	
0.769	-1.222196	
0.77	-1.222714	
0.771	-1.224454	
0.771	-1.226196	
0.772	-1.228075	
0.773	-1.227953	
0.774	-1.227147	
0.775	-1.227345	
0.776	-1.227222	
0.776	-1.228148	
0.777	-1.230064	
0.778	-1.232115	
0.779	-1.233308	
0.78	-1.233489	
0.781	-1.233216	
0.781	-1.235062	
0.782	-1.23801	
0.783	-1.238946	
0.784	-1.239885	
0.785	-1.241171	
0.786	-1.243457	
0.786	-1.24557	
0.787	-1.246385	
0.788	-1.247178	
0.789	-1.247354	
0.79	-1.248765	
0.791	-1.250814	
0.791	-1.252009	
0.792	-1.251813	
0.793	-1.253467	
0.794	-1.257096	
0.795	-1.259686	
0.796	-1.260586	
0.796	-1.262234	
0.797	-1.265984	
0.798	-1.268622	
0.799	-1.268307	
0.8	-1.268765	
0.801	-1.271471	
0.801	-1.275109	
0.802	-1.277914	
0.803	-1.277606	
0.804	-1.277647	
0.805	-1.279596	
0.806	-1.281017	
0.806	-1.279655	
0.807	-1.27981	
0.808	-1.281005	
0.809	-1.282244	
0.81	-1.284454	
0.811	-1.286022	
0.811	-1.286138	
0.812	-1.286026	
0.813	-1.287251	
0.814	-1.287106	
0.815	-1.287107	
0.816	-1.287266	
0.816	-1.288172	
0.817	-1.289252	
0.818	-1.288952	
0.819	-1.288425	
0.82	-1.289538	
0.821	-1.292061	
0.821	-1.293461	
0.822	-1.293399	
0.823	-1.294696	
0.824	-1.297182	
0.825	-1.299204	
0.826	-1.299564	
0.826	-1.299695	
0.827	-1.301404	
0.828	-1.302764	
0.829	-1.302194	
0.83	-1.302249	
0.831	-1.302538	
0.831	-1.302911	
0.832	-1.303883	
0.833	-1.304906	
0.834	-1.306832	
0.835	-1.309015	
0.836	-1.311223	
0.836	-1.313385	
0.837	-1.315282	
0.838	-1.317123	
0.839	-1.317863	
0.84	-1.319149	
0.84	-1.320366	
0.841	-1.32115	
0.842	-1.321252	
0.843	-1.321465	
0.844	-1.320143	
0.845	-1.31986	
0.845	-1.32131	
0.846	-1.323236	
0.847	-1.325264	
0.848	-1.32659	
0.849	-1.32722	
0.85	-1.327717	
0.85	-1.328072	
0.851	-1.329935	
0.852	-1.33098	
0.853	-1.332474	
0.854	-1.334328	
0.855	-1.335127	
0.855	-1.335718	
0.856	-1.33511	
0.857	-1.33537	
0.858	-1.335357	
0.859	-1.335184	
0.86	-1.335918	
0.86	-1.335957	
0.861	-1.336397	
0.862	-1.337204	
0.863	-1.338771	
0.864	-1.339468	
0.865	-1.340428	
0.865	-1.340258	
0.866	-1.340766	
0.867	-1.34219	
0.868	-1.343521	
0.869	-1.345401	
0.87	-1.347924	
0.87	-1.350768	
0.871	-1.352256	
0.872	-1.352364	
0.873	-1.353257	
0.874	-1.354403	
0.875	-1.354573	
0.875	-1.354983	
0.876	-1.35588	
0.877	-1.35725	
0.878	-1.357644	
0.879	-1.357753	
0.88	-1.359224	
0.88	-1.360589	
0.881	-1.362191	
0.882	-1.363391	
0.883	-1.36264	
0.884	-1.36196	
0.885	-1.363672	
0.885	-1.366095	
0.886	-1.36897	
0.887	-1.370695	
0.888	-1.370247	
0.889	-1.370371	
0.89	-1.369345	
0.89	-1.368207	
0.891	-1.368199	
0.892	-1.369212	
0.893	-1.37022	
0.894	-1.370558	
0.895	-1.371145	
0.895	-1.37307	
0.896	-1.373453	
0.897	-1.37325	
0.898	-1.374213	
0.899	-1.376018	
0.9	-1.377427	
0.9	-1.377889	
0.901	-1.378679	
0.902	-1.379966	
0.903	-1.381718	
0.904	-1.385017	
0.905	-1.388406	
0.905	-1.389168	
0.906	-1.388929	
0.907	-1.387669	
0.908	-1.387207	
0.909	-1.387967	
0.91	-1.388381	
0.91	-1.390751	
0.911	-1.39109	
0.912	-1.391475	
0.913	-1.392928	
0.914	-1.393917	
0.915	-1.395872	
0.915	-1.397897	
0.916	-1.398891	
0.917	-1.400956	
0.918	-1.402679	
0.919	-1.403067	
0.92	-1.404215	
0.92	-1.406876	
0.921	-1.408231	
0.922	-1.409184	
0.923	-1.409976	
0.924	-1.410206	
0.925	-1.409895	
0.925	-1.409159	
0.926	-1.409723	
0.927	-1.41195	
0.928	-1.414167	
0.929	-1.41591	
0.93	-1.417312	
0.93	-1.418467	
0.931	-1.418564	
0.932	-1.419175	
0.933	-1.420127	
0.934	-1.41943	
0.935	-1.418428	
0.935	-1.417188	
0.936	-1.416841	
0.937	-1.417396	
0.938	-1.418283	
0.939	-1.418089	
0.94	-1.417611	
0.94	-1.418068	
0.941	-1.416914	
0.942	-1.41667	
0.943	-1.417673	
0.944	-1.419097	
0.945	-1.420601	
0.945	-1.421674	
0.946	-1.422856	
0.947	-1.424232	
0.948	-1.424443	
0.949	-1.425792	
0.95	-1.427051	
0.95	-1.427119	
0.951	-1.426058	
0.952	-1.425962	
0.953	-1.427482	
0.954	-1.429292	
0.955	-1.431162	
0.955	-1.433704	
0.956	-1.436305	
0.957	-1.436823	
0.958	-1.437339	
0.959	-1.437972	
0.96	-1.439051	
0.96	-1.440493	
0.961	-1.440773	
0.962	-1.441495	
0.963	-1.442625	
0.964	-1.442802	
0.965	-1.442303	
0.965	-1.442315	
0.966	-1.442662	
0.967	-1.442589	
0.968	-1.44324	
0.969	-1.445066	
0.97	-1.444798	
0.97	-1.444198	
0.971	-1.445304	
0.972	-1.44847	
0.973	-1.450215	
0.974	-1.450426	
0.975	-1.45092	
0.975	-1.451378	
0.976	-1.451195	
0.977	-1.451032	
0.978	-1.451931	
0.979	-1.453063	
0.98	-1.454866	
0.98	-1.457764	
0.981	-1.459512	
0.982	-1.459782	
0.983	-1.460966	
0.984	-1.462769	
0.985	-1.463515	
0.985	-1.463914	
0.986	-1.465533	
0.987	-1.468148	
0.988	-1.470653	
0.989	-1.471123	
0.99	-1.469595	
0.99	-1.469587	
0.991	-1.470984	
0.992	-1.472067	
0.993	-1.472168	
0.994	-1.471935	
0.995	-1.47174	
0.995	-1.472154	
0.996	-1.473179	
0.997	-1.474718	
0.998	-1.477023	
0.999	-1.479109	
1	-1.480651	
1	-1.480277	
1.001	-1.480677	
1.002	-1.481145	
1.003	-1.482574	
1.004	-1.484156	
1.005	-1.48443	
